2020-03-13 18:09:30.004 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 18:10:00.008 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 18:10:30.005 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 18:11:00.004 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 18:11:30.003 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 18:12:00.004 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 18:12:30.005 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 18:13:00.004 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 18:13:30.003 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 18:14:00.000 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 18:14:30.006 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 18:15:00.004 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 18:15:30.005 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 18:16:00.004 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 18:16:30.004 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 18:17:00.006 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 18:17:30.005 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 18:18:00.001 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 18:18:30.002 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 18:19:00.003 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 18:19:30.001 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 18:20:00.001 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 18:20:30.005 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 18:21:00.001 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 18:21:30.005 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 18:22:00.001 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 18:22:30.001 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 18:23:00.001 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 18:23:30.002 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 18:24:00.001 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 18:24:30.003 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 18:25:00.001 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 18:25:30.004 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 18:26:00.001 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 18:26:30.005 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 18:27:00.001 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 18:27:30.002 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 18:28:00.001 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 18:28:30.002 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 18:29:00.001 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 18:29:30.004 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 18:30:00.002 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 18:30:30.002 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 18:31:00.003 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 18:31:30.001 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 18:32:00.002 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 18:32:30.002 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 18:33:00.000 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 18:33:30.000 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 18:34:00.004 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 18:34:30.001 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 18:35:00.004 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 18:35:30.003 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 18:36:00.000 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 18:36:30.005 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 18:37:00.002 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 18:37:30.005 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 18:38:00.001 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
